date,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
11/29/2020 20:00,-164.6394325,-566.3959503,1860.224584,132.9187652,-334.476007,710.0515627,699.4856301,4137.520454,-496.0336954,269.8140889
11/29/2020 21:00,15.90436185,-1361.177252,1551.499801,226.8485771,-389.32343,763.0059188,711.4877476,4155.94757,-497.2458445,270.4425499
11/29/2020 22:00,147.3168908,-1971.449855,1165.085251,318.4338587,-443.2914092,813.6691813,722.9750124,4174.354471,-498.451187,271.0677858
11/29/2020 23:00,221.944628,-2290.62746,710.4346955,405.9257462,-495.9931064,861.843889,733.9327442,4192.738769,-499.6496911,271.6897867
11/30/2020 0:00,-68.0303832,-2073.940884,198.7834387,487.575376,-547.0417019,907.3325994,744.3462625,4211.098074,-500.8413252,272.3085433
11/30/2020 1:00,-494.5182961,-1409.073961,-348.4879972,561.6338845,-596.050452,949.9379457,754.2008871,4229.430001,-502.0260575,272.9240458
11/30/2020 2:00,94.10385019,-520.0113828,-896.1413502,626.3974454,-642.6776691,989.4625801,763.4819374,4247.732161,-503.2038565,273.5362846
11/30/2020 3:00,453.7158554,679.1662733,-1405.919309,680.3718834,-686.7913169,1025.709155,772.1747332,4266.002165,-504.3746902,274.1452501
11/30/2020 4:00,-259.1533534,2033.949301,-1839.564561,722.2416145,-728.43795,1058.480322,780.264594,4284.237627,-505.5385274,274.7509328
11/30/2020 5:00,-374.098439,2478.111584,-2158.819796,750.8504062,-767.8234747,1087.578734,787.7368395,4302.436158,-506.695336,275.3533229
11/30/2020 6:00,562.0128238,1420.37248,-2330.750063,765.3113543,-805.4231256,1112.807043,794.5767893,4320.595372,-507.8450844,275.9524109
11/30/2020 7:00,-522.4906851,-1121.825864,-2344.314913,765.2118231,-841.5813495,1133.967901,800.7697629,4338.712878,-508.9877411,276.5481872
11/30/2020 8:00,285.4980994,-2550.807124,-2196.116122,751.8243224,-876.0078725,1150.86396,806.3010801,4356.786289,-510.1232742,277.1406421
11/30/2020 9:00,-104.6739205,-2551.933933,-1888.799975,726.1179249,-907.9053622,1163.297873,811.1560604,4374.813219,-511.2516522,277.729766
11/30/2020 10:00,-153.1718491,-1651.020399,-1449.828909,688.8673184,-936.3822745,1171.072105,815.3200234,4392.791278,-512.3728433,278.3155494
11/30/2020 11:00,292.3023301,-416.2609198,-918.7181955,640.8471908,-960.5445215,1173.986581,818.7782889,4410.71808,-513.4868158,278.8979825
11/30/2020 12:00,5.637591294,1216.452135,-336.5360914,582.8322301,-979.4903068,1171.832089,821.517601,4428.591235,-514.5935381,279.4770559
11/30/2020 13:00,77.75067404,2275.92863,255.6491461,515.5971242,-992.3147257,1164.390437,823.5305767,4446.408357,-515.6929785,280.0527597
11/30/2020 14:00,179.843715,2649.923033,816.7692598,439.916561,-998.1167882,1151.445231,824.811952,4464.167057,-516.7851053,280.6250845
11/30/2020 15:00,-238.0649975,2661.066856,1305.702799,356.5652284,-996.0339821,1132.815873,825.3591424,4481.864947,-517.8698868,281.1940208
11/30/2020 16:00,-315.1085998,2445.181431,1685.609914,266.3178144,-985.3072821,1108.415231,825.1795848,4499.49964,-518.9472914,281.7595586
11/30/2020 17:00,219.6266236,1851.588188,1941.613808,169.9490067,-965.293675,1078.269679,824.2832262,4517.068743,-520.0172873,282.3216886
11/30/2020 18:00,376.4265156,1008.29703,2079.502055,68.21851978,-935.5287694,1042.584214,822.6800366,4534.56984,-521.0798428,282.8804011
11/30/2020 19:00,-334.1079398,72.98396472,2109.702515,-38.71546094,-895.6819155,1001.697573,820.3800157,4552.000488,-522.1349263,283.4356865
11/30/2020 20:00,-413.3884627,-968.8222971,2043.762881,-151.8145853,-845.4476316,955.9736644,817.3931692,4569.358233,-523.1825062,283.9875351
11/30/2020 21:00,83.81393795,-2020.203755,1889.525787,-268.3354413,-784.5209284,905.7768849,813.7294984,4586.64063,-524.2225506,284.5359373
11/30/2020 22:00,464.5061119,-2666.480268,1653.772191,-384.472943,-712.5983485,851.4731655,809.3990041,4603.845232,-525.2550281,285.0808836
11/30/2020 23:00,359.4095833,-2601.982177,1342.248858,-496.4220045,-629.3768176,793.4288195,804.4116704,4620.969611,-526.2799067,285.6223642
12/1/2020 0:00,-102.0187276,-2020.137843,961.0151807,-600.3775397,-534.5532612,732.0101603,798.7774179,4638.011398,-527.2971549,286.1603698
12/1/2020 1:00,-535.0123791,-1226.188548,532.893947,-692.5344628,-427.8246049,667.5835015,792.506151,4654.968246,-528.306741,286.6948905
12/1/2020 2:00,147.3104037,-430.8803004,85.15734171,-769.0461682,-308.929294,600.5151564,785.6077363,4671.837842,-529.3086333,287.2259167
12/1/2020 3:00,530.1066088,627.3556756,-354.9224504,-825.9228414,-177.7489827,531.1714384,778.0918895,4688.618024,-530.3028001,287.7534389
12/1/2020 4:00,-280.4608581,1956.112239,-760.0732443,-859.1277189,-34.21227397,459.9186611,769.9682888,4705.306669,-531.2892099,288.2774475
12/1/2020 5:00,-490.7850915,2531.10825,-1103.022855,-863.9844011,121.1125928,387.1231377,761.2466122,4721.901654,-532.2678307,288.7979327
12/1/2020 6:00,457.713848,1709.214782,-1357.104348,-834.3374756,286.1783655,313.1511818,751.9365378,4738.400854,-533.238631,289.3148851
12/1/2020 7:00,-416.7657838,-867.6544084,-1497.944867,-762.7532186,457.5325634,238.3691068,742.0476963,4754.802195,-534.2015791,289.8282949
12/1/2020 8:00,365.7589484,-2379.024995,-1499.283828,-644.0082978,631.4401186,163.1432261,731.5895294,4771.103789,-535.1566434,290.3381526
12/1/2020 9:00,-192.6352359,-2384.646887,-1332.706343,-482.2432339,804.1659632,87.83985309,720.5714316,4787.303795,-536.103792,290.8444486
12/1/2020 10:00,-253.850325,-1608.632415,-1002.728286,-288.7666575,971.9750294,12.82530127,709.0027971,4803.400375,-537.0429933,291.3471733
12/1/2020 11:00,240.8338858,-652.413854,-564.8220744,-76.18289978,1131.132249,-61.53411595,696.8930205,4819.391688,-537.9742158,291.846317
12/1/2020 12:00,-183.8519408,973.8467327,-85.72080144,142.903708,1277.902555,-134.8720851,684.251496,4835.275894,-538.8974276,292.34187
12/1/2020 13:00,-106.3048748,1984.665016,367.8424414,355.8888348,1408.550878,-206.8222929,671.0876181,4851.051153,-539.8125971,292.8338229
12/1/2020 14:00,177.2012487,2171.533433,729.134562,550.1681492,1519.342151,-277.0184257,657.4107813,4866.715627,-540.7196926,293.322166
12/1/2020 15:00,-54.32136186,1897.506209,944.8246356,713.1373203,1606.541306,-345.0941703,643.2303798,4882.267474,-541.6186824,293.8068896
12/1/2020 16:00,-196.9150588,1424.235828,1019.76632,832.183736,1666.411112,-410.6810498,628.5558081,4897.704855,-542.509535,294.2879842
12/1/2020 17:00,154.6912632,859.9386238,990.0210523,895.1596978,1695.216297,-473.4125468,613.3964154,4913.025975,-543.3922185,294.7654402
12/1/2020 18:00,228.2115621,204.1204436,890.265746,895.5723047,1689.60038,-533.0035742,597.7613703,4928.229221,-544.2667012,295.2392478
12/1/2020 19:00,-236.5627881,-521.7602798,738.8061116,841.6840728,1647.997853,-589.3442348,581.6597962,4943.313023,-545.1329515,295.7093976
12/1/2020 20:00,-258.0456366,-1149.479891,549.9795694,743.3556025,1571.25456,-642.3657758,565.1008166,4958.275813,-545.9909377,296.1758798
12/1/2020 21:00,79.01951341,-1619.425081,338.1235393,608.5512499,1462.11259,-691.9994442,548.0935548,4973.116021,-546.8406283,296.638685
12/1/2020 22:00,304.4934605,-1807.006841,117.5754413,444.8678955,1323.681505,-738.176487,530.6471343,4987.83208,-547.6819913,297.0978034
12/1/2020 23:00,296.2156717,-1613.890431,-98.62170667,259.9024201,1159.07087,-780.8281514,512.7706785,5002.422419,-548.5149952,297.5532255
12/2/2020 0:00,10.70557452,-965.5780918,-298.8478641,61.25170432,971.3902478,-819.8856845,494.4733108,5016.885469,-549.3396082,298.0049416
12/2/2020 1:00,-362.6521053,-34.23080391,-457.7295504,-143.4873712,763.7492021,-855.2803332,475.7641547,5031.219664,-550.1557989,298.452942
12/2/2020 2:00,62.5053539,894.6505641,-546.021392,-346.7179259,539.2572965,-886.9433448,456.6523336,5045.423433,-550.9635352,298.8972174
12/2/2020 3:00,374.0499551,1518.196547,-534.9811272,-540.3106524,301.0240943,-914.8059663,437.1469708,5059.495207,-551.7627857,299.3377579
12/2/2020 4:00,-372.221518,1621.785098,-401.8397001,-712.9152366,52.15915932,-938.7994448,417.2571898,5073.433417,-552.5535188,299.7745539
12/2/2020 5:00,-142.6960931,1296.605083,-154.5169264,-848.3495952,-204.2279451,-958.8550274,396.9921141,5087.236497,-553.3357025,300.2075959
12/2/2020 6:00,354.6082507,446.8517416,136.0167061,-929.5263915,-465.0276553,-974.9039611,376.360867,5100.902874,-554.1093054,300.6368744
12/2/2020 7:00,-340.3874311,-843.7904207,383.6987185,-939.1146719,-727.1303385,-986.877493,355.372572,5114.430981,-554.8742956,301.0623794
12/2/2020 8:00,128.02941,-1581.038389,502.3892453,-860.0146974,-987.1177604,-994.7068703,334.0363525,5127.819249,-555.6306416,301.4841016
12/2/2020 9:00,51.87058161,-1466.655854,432.6333486,-683.2211874,-1240.16471,-998.32334,312.3613319,5141.06611,-556.3783116,301.9020314
12/2/2020 10:00,48.42595324,-896.6744226,221.1177205,-428.8563235,-1480.500291,-997.65826,290.3567445,5154.169994,-557.117274,302.316159
12/2/2020 11:00,249.8642955,-194.4223311,-61.17833784,-129.3546114,-1702.456162,-992.6437408,268.032577,5167.129333,-557.847497,302.7264748
12/2/2020 12:00,131.6427939,708.5036984,-343.8736045,181.6660038,-1900.612393,-983.2136485,245.400572,5179.942557,-558.5689491,303.1329693
12/2/2020 13:00,94.64701601,1395.648562,-556.5868576,470.635409,-2069.596884,-969.3048548,222.4754774,5192.608098,-559.2815984,303.5356328
12/2/2020 14:00,-38.52901784,1655.028702,-631.4761065,706.5227219,-2204.037539,-950.8589042,199.2767141,5205.124387,-559.9854133,303.9344559
12/2/2020 15:00,-223.4431971,1497.737666,-531.5270098,871.4295151,-2298.562258,-927.8184074,175.8247691,5217.489855,-560.6803622,304.3294286
12/2/2020 16:00,-186.6974154,1013.924927,-301.8385018,961.8987161,-2347.798942,-900.1259753,152.1401297,5229.702934,-561.3664133,304.7205415
12/2/2020 17:00,119.0950375,311.3911118,4.255193807,978.4074836,-2347.27249,-867.7859228,128.2432829,5241.762053,-562.0435351,305.1077851
