no,no,no,no,no,no,no,no,no,no,no,no,no
20.34615975,13.64836548,20.66183855,11.78609274,9.974082902,-1.330272038,11.86043166,8.635771734,-10.86639683,-9.121642318,-0.271668179,25.36615322,31.63108333
11.45012409,34.5386568,22.92300265,13.54678887,11.61821552,-0.171386326,11.97916151,9.232449359,-10.74289143,-9.115448586,-0.268513476,25.36873149,31.63110954
-10.21558163,48.09918209,24.60100664,14.7222404,13.07279505,1.012167007,12.072703,9.825698535,-10.61816985,-9.109147763,-0.265328759,25.37129909,31.63113619
-19.81859559,49.36001806,25.66624534,15.20385693,14.29428117,2.220974417,12.14014872,10.41514105,-10.4922345,-9.102740741,-0.262114187,25.37385604,31.63116329
-10.0022041,36.47075398,26.1041012,14.89745775,15.23587179,3.455622362,12.18059124,11.0003987,-10.36508778,-9.096228411,-0.258869917,25.37640235,31.63119084
6.494819206,15.07192422,25.9259115,13.7953846,15.84282978,4.716697302,12.19312313,11.58109326,-10.2367321,-9.089611666,-0.25559611,25.37893803,31.63121884
13.77765347,-7.846025202,25.01883524,12.01799867,16.08293615,6.004561957,12.17684251,12.15684098,-10.10716984,-9.082891397,-0.252292925,25.38146311,31.63124728
18.10392007,-28.69509052,23.22330152,9.704906143,15.95373902,7.317296844,12.1308799,12.72722569,-9.976403431,-9.076068496,-0.24896052,25.3839776,31.63127617
18.64486192,-44.82088948,20.37655585,6.986030486,15.47165107,8.646984227,12.05442324,13.29177383,-9.844435259,-9.069143856,-0.245599056,25.38648152,31.63130551
13.98163091,-53.88894882,16.31584374,3.98935571,14.65737232,9.983358497,11.94672355,13.84994872,-9.711267732,-9.062118368,-0.24220869,25.38897488,31.6313353
6.434691716,-53.33337626,10.93767888,0.842865819,13.53204448,11.31571234,11.80708616,14.40115938,-9.576903251,-9.054992924,-0.238789583,25.3914577,31.63136553
-3.056799759,-41.29338552,4.434989788,-2.325455182,12.116734,12.63341371,11.63486838,14.94476291,-9.441344221,-9.047768415,-0.235341892,25.39392999,31.63139622
-18.3292398,-16.80927442,-2.702658796,-5.387623286,10.4321392,13.9261987,11.42947811,15.48006573,-9.304593044,-9.040445735,-0.231865778,25.39639177,31.63142735
-7.4502056,16.58049815,-9.926360096,-8.215654488,8.498042777,15.18471902,11.19036571,16.00633184,-9.166652122,-9.033025775,-0.2283614,25.39884306,31.63145893
17.93684637,45.67335254,-16.68720734,-10.68156478,6.332454503,16.40139929,10.91699646,16.52281034,-9.02752386,-9.025509426,-0.224828916,25.40128387,31.63149095
15.49192594,56.70324283,-22.43629376,-12.65737017,3.952968393,17.56907991,10.60881893,17.02876701,-8.887210659,-9.017897581,-0.221268486,25.40371422,31.63152343
-1.322591425,45.41031186,-26.68326702,-14.01508663,1.377178465,18.68060127,10.26527676,17.52347257,-8.745714923,-9.010191132,-0.217680268,25.40613412,31.63155635
-16.80167704,18.496267,-29.17199248,-14.62673018,-1.377321261,19.72880376,9.885797181,18.00621415,-8.603039054,-9.002390971,-0.214064423,25.40854359,31.63158973
-16.60904996,-14.89988221,-29.70488997,-14.37073618,-4.286517378,20.70652775,9.469741624,18.47634469,-8.459185456,-8.994497988,-0.210421109,25.41094266,31.63162355
8.97050301,-44.83805851,-28.04345996,-13.19626977,-7.296586078,21.60661364,9.016455097,18.93323352,-8.314156532,-8.986513078,-0.206750485,25.41333132,31.63165782
16.34797427,-57.60396381,-23.78552555,-11.23905407,-10.33082291,22.42190182,8.525273319,19.37625931,-8.167954683,-8.97843713,-0.20305271,25.4157096,31.63169253
3.416361591,-46.77004874,-16.74324718,-8.677587276,-13.31066768,23.14523267,7.995494862,19.80483782,-8.020582314,-8.970271038,-0.199327944,25.41807752,31.6317277
-15.65873774,-18.46033684,-7.749811923,-5.682310685,-16.1656171,23.76944658,7.426409013,20.21839415,-7.872041827,-8.962015693,-0.195576345,25.42043509,31.63176331
-2.787472056,15.85215066,2.106336506,-2.421668869,-18.82716461,24.28737964,6.817289665,20.61637304,-7.722335625,-8.953671987,-0.191798073,25.42278233,31.63179938
14.94067631,44.45372649,11.73675438,0.935893597,-21.22680364,24.69171962,6.167480277,20.99829803,-7.571466111,-8.945240812,-0.187993286,25.42511925,31.63183589
6.757017564,57.28991089,20.05299798,4.221932138,-23.29602763,24.97442137,5.477037529,21.36371233,-7.419435688,-8.93672306,-0.184162145,25.42744587,31.63187285
